image_id,healthy,multiple_diseases,rust,scab
Test_0,7.634656e-05,5.5403318e-05,0.9998683,2.1669956e-08
Test_1,1.2348883e-09,2.0792021e-09,1.0,3.0046732e-10
Test_2,6.986331e-13,8.0929783e-13,1.4942825e-14,1.0
Test_3,0.9999999,7.1886307e-13,6.792323e-10,1.1112082e-07
Test_4,1.0472496e-05,0.00032440023,0.999665,1.0723206e-07
Test_5,0.99999845,4.505037e-11,5.345654e-10,1.5268539e-06
Test_6,1.0,2.625383e-12,3.530756e-09,8.980467e-10
Test_7,1.6512693e-05,0.59057367,1.5656284e-05,0.40939415
Test_8,0.0011350453,0.7168203,4.448614e-05,0.28200015
Test_9,2.7356284e-06,6.351876e-06,0.9999908,1.4013649e-07
Test_10,1.1676239e-05,0.0006989481,0.99928916,2.5786701e-07
Test_11,0.9999999,2.8621476e-12,1.2584975e-07,2.4245382e-11
Test_12,0.65055746,1.3783724e-05,0.0002757288,0.34915298
Test_13,0.9995844,1.4334736e-06,0.00041368188,5.570951e-07
Test_14,3.4417648e-05,0.05145405,0.94851,1.5995049e-06
Test_15,1.039449e-11,1.2814505e-09,1.0,7.7999897e-16
Test_16,1.0,1.5360262e-16,2.7306914e-11,5.0390493e-16
Test_17,1.9347958e-06,0.0005841879,0.0003410636,0.9990728
Test_18,0.00036476008,1.8161885e-06,2.4817433e-05,0.9996087
Test_19,5.203827e-09,1.706875e-06,0.99999833,9.087714e-10
Test_20,9.4531126e-05,4.344825e-06,1.0688401e-06,0.9999
Test_21,1.0,1.4792023e-14,5.323433e-09,8.415646e-15
Test_22,2.1575506e-06,0.00019758414,0.99980026,2.6549438e-08
Test_23,0.0002058136,7.815737e-05,1.0182212e-07,0.99971586
Test_24,1.0,1.5532917e-11,4.8638498e-09,4.9904924e-11
Test_25,7.8082777e-13,2.0082607e-12,2.3412126e-13,1.0
Test_26,1.6004983e-06,1.1223382e-07,9.686764e-10,0.99999833
Test_27,9.804639e-06,1.6443482e-05,0.99995315,2.059627e-05
Test_28,1.0,1.3718986e-09,4.204392e-09,1.6582547e-08
Test_29,4.5022075e-06,0.35526502,0.6447292,1.2908652e-06
Test_30,1.0,6.213842e-13,2.550422e-10,4.1961908e-08
Test_31,0.0020673948,0.6663464,0.33152804,5.8188027e-05
Test_32,7.468776e-07,5.7998775e-05,7.7640586e-08,0.9999411
Test_33,4.1867486e-12,3.4513103e-08,1.5542565e-09,1.0
Test_34,7.099048e-05,3.4667355e-05,2.7209771e-06,0.99989164
Test_35,4.4070705e-10,1.3061667e-09,2.5061507e-13,1.0
Test_36,2.1122952e-09,6.8064004e-08,0.9999999,1.5159029e-12
Test_37,6.593692e-06,1.0870632e-07,5.036726e-07,0.99999285
Test_38,4.7597513e-09,0.00020947563,2.9852778e-08,0.9997905
Test_39,9.53736e-11,5.613905e-11,1.0,8.936049e-12
Test_40,3.2822598e-09,8.512456e-07,0.99999917,2.9526284e-12
Test_41,4.3223704e-06,1.9394534e-05,0.99997616,7.7066126e-08
Test_42,5.3098474e-06,0.00077540614,3.772474e-08,0.9992193
Test_43,0.0070160986,0.0028121271,0.9901625,9.375987e-06
Test_44,0.022714565,0.8357872,0.020747166,0.120751075
Test_45,0.017980684,0.54939955,0.18666244,0.24595733
Test_46,0.5560992,0.19421773,0.005748098,0.24393499
Test_47,2.116543e-06,7.318164e-05,0.99992263,2.0808775e-06
Test_48,1.0302698e-09,1.7375513e-06,0.9999982,2.519426e-10
Test_49,5.877089e-10,7.40411e-11,1.0,7.960673e-13
Test_50,2.6401542e-08,0.5469529,0.45304695,1.1614431e-07
Test_51,2.216588e-05,0.00033661927,0.9996412,7.841124e-09
Test_52,2.66192e-06,0.0069404957,0.9930568,3.5519183e-09
Test_53,5.7021476e-10,6.2953364e-07,0.9999994,7.3944025e-13
Test_54,0.13023329,0.09195189,0.7777844,3.0389649e-05
Test_55,2.1229423e-09,8.783187e-09,2.4792834e-09,1.0
Test_56,1.8085616e-09,3.37334e-08,4.592915e-07,0.9999995
Test_57,0.9999993,1.4098923e-10,4.3311457e-09,6.5236895e-07
Test_58,2.5643332e-09,6.678573e-07,2.0312007e-11,0.9999993
Test_59,0.8873346,0.031520505,0.080913976,0.00023094506
Test_60,5.3710284e-07,2.9426838e-06,7.583434e-09,0.99999654
Test_61,0.9999995,1.7671441e-10,2.4474437e-07,2.43103e-07
Test_62,1.5871665e-05,0.9920861,0.00017012593,0.007727954
Test_63,0.0010082745,0.021115292,2.8056318e-06,0.9778737
Test_64,0.0018003837,3.961197e-06,7.33511e-06,0.9981883
Test_65,8.16612e-05,3.6677273e-05,0.9998816,2.8551484e-11
Test_66,0.9999995,8.512379e-14,4.4570436e-07,2.3841409e-15
Test_67,1.2924053e-13,3.3561376e-11,1.0,8.355376e-16
Test_68,2.0094047e-05,0.9799471,0.019957941,7.4895055e-05
Test_69,5.061936e-09,2.5921573e-10,1.0,1.8193682e-12
Test_70,2.5681116e-10,6.9045156e-05,5.139136e-10,0.999931
Test_71,0.00012595172,0.00016230182,0.99971145,2.0007788e-07
Test_72,3.658017e-14,2.699129e-12,4.819805e-14,1.0
Test_73,0.9999999,1.1136705e-09,6.356012e-08,3.3106136e-08
Test_74,0.99999976,1.4537957e-11,8.556501e-09,2.8271646e-07
Test_75,0.0003277103,0.059938174,0.00010184642,0.93963236
Test_76,1.0,2.6655074e-11,2.9347317e-08,5.9539135e-10
Test_77,4.196589e-09,8.0535285e-09,1.0,1.14365735e-08
Test_78,1.7936452e-07,8.216677e-06,4.1594964e-10,0.99999166
Test_79,3.8250564e-10,1.2345768e-06,4.0442916e-09,0.9999988
Test_80,3.466945e-07,0.9990343,0.00096432015,1.0054677e-06
Test_81,5.6412e-11,1.07834985e-07,0.9999999,1.1830174e-10
Test_82,1.4867238e-05,0.048528943,0.951453,3.2044384e-06
Test_83,6.8692594e-07,8.188021e-06,0.9999912,7.466365e-09
Test_84,1.9858712e-08,1.502998e-10,8.7681185e-10,1.0
Test_85,3.4789682e-09,1.3347699e-08,2.5915592e-10,1.0
Test_86,0.0008808357,8.596577e-06,0.9991105,8.341894e-09
Test_87,0.9999095,1.2679803e-05,7.487804e-05,2.9581388e-06
Test_88,0.79350686,0.00075635687,0.013787752,0.19194901
Test_89,0.9999902,3.059155e-08,9.779471e-06,3.77921e-08
Test_90,3.3236356e-07,1.8196952e-05,0.9999815,7.298949e-12
Test_91,1.0,1.7521835e-09,7.469836e-09,9.024703e-09
Test_92,1.0,4.3823365e-13,1.6175147e-10,6.2942433e-12
Test_93,1.850723e-10,3.3573668e-11,1.0,1.4457746e-14
Test_94,4.1274067e-11,4.8522875e-06,1.3805904e-10,0.9999951
Test_95,1.0,4.9789287e-12,1.8729827e-09,3.114748e-08
Test_96,3.5316076e-11,4.2826906e-09,6.762124e-11,1.0
Test_97,0.9999994,1.480365e-09,5.493414e-07,1.0075635e-08
Test_98,0.029057601,0.72436506,0.02517986,0.22139744
Test_99,0.93683636,0.0010146849,0.008526056,0.053622827
Test_100,1.5907822e-11,3.382094e-10,1.955951e-13,1.0
